IP刘一一生活号素材链接：https://pan.baidu.com/s/11kFr0PQRNnQ5xA6QVRb-tg?pwd=36ks 提取码：36ks,,,,,,,,,,,,,,,,,,,,,,,,,,
刘11素材网盘：链接：https://pan.baidu.com/s/1GALV0GzgIgcH3zVXyR6Jpw?pwd=1234 提取码：1234,,,,,,,,,,,,,,,,,,,,,,,,,,
上架日期,商品名,商品id,商品售价,推广链接,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,"COCO ZONE2024""盘扣粉衬""100棉气质polo领粉色单排扣衬衣CC2A0257",3676076583405355105,5999,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8ucVSt&id=3676076583405355105&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE 2024时尚纯色棒球帽百搭遮阳帽子24C60068,3675465667315892674,90,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8HLrCW&id=3675465667315892674&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE2024条纹长袖T恤女士经典圆领宽松打底衫CC1A0546,3672534985518219688,220,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8uoKEn&id=3672534985518219688&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE 2024时尚纯色棒球帽百搭遮阳帽子24C60068,3661777491988739414,90,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8H6xM7&id=3661777491988739414&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,"COCO ZONE2024""牛仔很忙""100棉短款前口袋高级感复古外套24C10281",3665139221728985417,480,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8ungbF&origin_type=pc_buyin_group&id=3665139221728985417,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE2024设计感撞色花边针织开衫时尚圆领上衣CC1B0706,3675682599822557452,390,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8HeBE2&id=3675682599822557452&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE2024女士条纹短袖上衣POLO翻领毛针织衫CC1A0576,3673436385504788524,320,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8uwJSY&origin_type=pc_buyin_group&id=3673436385504788524,,,,,,,,,,,,,,,,,,,,,,
2024/4/2,COCO ZONE100棉春季松紧腰休闲裤简约软糯直筒裤24C10270,3676189066577182740,290,https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iY8HFXCj&id=3676189066577182740&origin_type=pc_buyin_group,,,,,,,,,,,,,,,,,,,,,,
