上架日期	商品名称	商品id	商品售价	推广链接
2024/3/14	【一生之物】亚麻短款休闲宽松夹克长袖外套1CDMB2690	3672259940149494124	680	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUe1WGN&id=3672259940149494124&origin_type=pc_buyin_group
2024/3/14	【山谷】高腰微弹复古水洗烟管牛仔裤1KDM09680	3672864338768691569	490	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUJpRYQ&origin_type=pc_buyin_group&id=3672864338768691569
2024/3/14	【黑武士】厚底英伦风一脚蹬乐福鞋0XDM34690	3672629296649863170	590	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFU9hAXQ&id=3672629296649863170&origin_type=pc_buyin_group
2024/3/14	【迷雾】宽松复古圆领绑带插肩袖长袖衬衫1SDM70070	3672870308689347013	990	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUeUYND&origin_type=pc_buyin_group&id=3672870308689347013
2024/3/14	【素雅】慵懒休闲阔肩宽松亚麻西装外套1CDM33100	3672866576555704563	890	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUedoR4&id=3672866576555704563&origin_type=pc_buyin_group
2024/3/14	【魏老板】提花暗纹花肌理大帽围显脸小可调节鸭舌帽1H0570420	3672609013801025849	190	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUJXdtM&origin_type=pc_buyin_group&id=3672609013801025849
2024/3/14	【意合】修身汉麻色织无领一粒扣西装外套1C07B0370	3672872095479628123	990	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUJ7qdh&origin_type=pc_buyin_group&id=3672872095479628123
2024/3/14	【轻言】圆领挺括舒适白底藏蓝条纹短袖T恤1TDMT5140	3672875379066012040	199	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUeAQaL&id=3672875379066012040&origin_type=pc_buyin_group
2024/3/14	【信使】短款口袋装饰长袖长绒棉衬衫1SDMC7130	3672875602244927700	490	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUJKEbk&id=3672875602244927700&origin_type=pc_buyin_group
2024/3/14	【余晖】小众复古气质设计感立领宽松显瘦衬衫1SDM55900	3672873927358677087	790	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUe53LN&id=3672873927358677087&origin_type=pc_buyin_group
2024/3/14	【秒爱】醋酸丝绒松紧腰显瘦直筒开叉半身裙1KDMX2700	3672873420359598469	450	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUe2NuQ&origin_type=pc_buyin_group&id=3672873420359598469
2024/3/14	【温文尔雅】120支双股高捻超细无领设计感新中式小衫1SDM15310	3672878701038665742	490	https://haohuo.jinritemai.com/ecommerce/trade/detail/index.html?ins_activity_param=iFUJX5up&origin_type=pc_buyin_group&id=3672878701038665742
